x,z
37.4509,0.0
37.65081,0.0
38.25051,0.0
38.65034,0.3333333
38.85032,0.5
39.25031,0.1666667
39.45028,0.3333333
39.65022,0.1666667
39.85012,0.3333333
40.04994,0.1666667
40.24972,0.0
40.4495,0.1666667
40.64923,0.0
40.84895,0.1666667
41.24816,0.5
41.64657,0.1666667
41.84558,0.0
42.24361,0.0
42.44262,-0.1666667
42.64173,0.0
42.84084,-0.1666667
43.04005,0.0
43.23926,0.1666667
43.43837,0.0
43.63748,0.1666667
43.83649,0.0
44.54259,-0.8333333
0.2,0.0
0.7999725,-0.5
1.599254,0.1666667
1.799079,0.0
1.998903,0.0
2.198728,-0.1666667
2.398506,0.0
2.598284,-0.1666667
2.79801,-0.3333333
2.997616,-0.5
3.196999,-0.3333333
3.396207,-0.1666667
3.59532,-0.3333333
3.794224,-0.1666667
3.993016,-0.3333333
4.191567,-0.1666667
4.38999,-0.3333333
4.58814,-0.1666667
4.786145,0.0
4.984149,0.0
5.182154,0.0
5.380159,0.0
5.578164,0.1666667
5.776313,0.0
5.974463,-0.1666667
6.172468,0.0
6.370472,0.0
6.568477,0.1666667
6.766627,0.0
6.964777,0.0
7.360931,-0.3333333
7.756167,0.0
7.953705,0.1666667
8.151403,0.3333333
8.547558,0.0
8.943712,-0.3333333
9.141411,-0.1666667
9.732799,-0.6666667
9.928643,-0.5
10.12383,-0.6666667
10.51151,-0.3333333
10.89705,0.0
11.08968,0.0
11.47467,-0.3333333
12.04936,0.1666667
12.24112,0.0
12.43289,0.1666667
12.81758,0.5
13.20501,0.1666667
13.39923,0.0
13.98289,0.5
14.17852,0.3333333
14.37457,0.5
14.76824,0.1666667
15.16264,0.0
15.35984,-0.1666667
15.75388,0.1666667
16.14862,0.5
16.34663,0.6666667
16.74408,0.3333333
17.14258,0.6666667
17.34225,0.5
17.74197,0.1666667
18.14184,-0.1666667
18.54164,0.1666667
18.74157,0.3333333
19.14154,0.0
19.34153,0.1666667
19.74152,0.5
20.14138,0.1666667
20.34124,0.3333333
20.94047,-0.1666667
21.14025,-0.3333333
21.34012,-0.1666667
21.73992,0.0
22.13975,-0.3333333
22.33973,-0.1666667
23.13956,-0.8333333
23.33917,-1.0
23.73683,-0.6666667
24.13237,-0.3333333
24.32957,-0.5
24.72248,-0.1666667
24.91842,-0.6666667
0.2,0.0
0.7999725,-0.5
1.398983,-1.0
1.597775,-0.8333333
1.795925,-0.6666667
1.993463,-0.5
2.190484,-0.3333333
2.387135,-0.1666667
2.583593,0.0
2.78005,-0.1666667
2.976309,0.0
3.172567,-0.1666667
3.368621,0.0
3.564676,-0.1666667
3.76052,-0.3333333
3.955929,-0.1666667
4.151113,-0.3333333
4.540302,0.0
4.734776,0.0
4.92925,-0.1666667
5.123477,0.0
5.317703,0.0
5.51193,-0.1666667
5.705904,0.0
5.899879,-0.1666667
6.093596,-0.3333333
6.286781,-0.1666667
6.479692,-0.3333333
6.672041,-0.1666667
6.8641,-0.3333333
7.055563,-0.1666667
7.246722,-0.3333333
7.437254,-0.1666667
7.817019,-0.5
8.193366,-0.1666667
8.380822,0.0
8.941706,-0.5
9.12688,-0.3333333
9.311253,-0.1666667
9.679182,0.1666667
10.04793,0.0
10.2323,-0.1666667
10.7846,0.3333333
11.15612,0.6666667
11.34393,0.5
11.53281,0.3333333
11.91225,0.0
12.10213,0.0
12.4819,0.0
13.05022,-0.5
13.23804,-0.6666667
13.42437,-0.5
13.79392,-0.1666667
13.97789,0.0
14.3454,-0.3333333
14.71039,0.0
15.25548,-0.5
15.61376,-0.1666667
